SI.NO,Customer ID,Feedback Channel,Rating,Comment,Date
0,C74218,Social Media,4,Shipping took longer than expected. :) ,13-04-2023
1,C16799,Customer interviews,4,Response time was a bit slow.!!!,14-11-2023
2,C76412,Feedback,3,,25-05-2019
3,C48941,Email,5,Didn't meet my expectations. :(,10-08-2021
4,C47121,Live Chat,3,Love the new updates!,25-07-2023
5,C23782,Email,1,Shipping took longer than expected.!!!,16-03-2023
6,C29549,Social Media,4,I faced issues with payment.,07-09-2020
7,C24490,Social Media,3,,15-04-2022
8,C20864,Customer interviews,5,Response time was a bit slow.,23-10-2023
9,C80729,Social Media,2,,29-08-2019
10,C90421,Website Feedback,1,,12-07-2023
11,C49199,Survey,2,,26-06-2024
12,C72478,Live Chat,5,Too many bugs in the app....,05-07-2019
13,C97324,Email,1,Product arrived damaged.,21-03-2022
14,C83173,Live Chat,4,Could improve prduct qualty.,01-09-2021
15,C81038,Survey,4,"Great experience, very satisfied!??",18-08-2019
16,C91809,Feedback,1,,12-03-2021
17,C59232,Email,4,,27-03-2021
18,C85880,Website Feedback,3,,19-02-2023
19,C88669,Survey,5,Customer support was helpful....,14-07-2021
20,C10609,Email,2,,27-02-2020
21,C48695,Feedback,2,Perfect for my needs!...,09-03-2021
22,C33265,Website Feedback,5,Too many ads on the platform....,21-01-2024
23,C89474,Customer interviews,3,,08-04-2022
24,C69433,Website Feedback,2,The app keeps crashing. :(,23-10-2020
25,C88998,Email,3,Too many bugs in the app.,28-12-2021
26,C30477,Live Chat,5,,15-04-2019
27,C92043,Customer interviews,3,I faced issues with payment.,07-04-2023
28,C70172,Website Feedback,2,The quality of service has declined. :(,06-02-2022
29,C22057,Website Feedback,3,I faced issues with payment. :(,22-04-2021
30,C79018,Feedback,2,Very responsive support team.??,11-04-2022
31,C60043,Social Media,2,,02-02-2020
32,C94848,Email,1,Didn't meet my expectations. :) ,17-08-2019
33,C28695,Survey,3,"Easy to use, very user-friendly.",14-04-2024
34,C95306,Website Feedback,5,,09-11-2019
35,C65717,Live Chat,5,Customer suport was helpful.,16-07-2021
36,C99356,Feedback,5,,05-06-2022
37,C44401,Website Feedback,4,,09-02-2024
38,C93918,Live Chat,2,The service was excellent!!!!,19-04-2021
39,C14822,Live Chat,4,Could improve prduct qualty.,13-03-2020
40,C11281,Social Media,1,Excellent customer support!,23-10-2022
41,C95192,Survey,3,The quality of service has declined.,25-08-2019
42,C66206,Customer interviews,5,Too many ads on the platform.,08-03-2022
43,C71282,Feedback,4,Product arrived damaged.,29-11-2023
44,C61790,Email,3,Response time was a bit slow.,19-08-2019
45,C73980,Website Feedback,5,Excellent customer support!,05-04-2022
46,C85762,Customer interviews,1,The quality of service has declined.,03-02-2023
47,C36187,Feedback,2,Too many ads on the platform.,30-01-2019
48,C44133,Survey,1,Product is overpriced.,14-08-2024
49,C23018,Live Chat,4,The app is too slow.,24-02-2020
50,C68373,Feedback,5,Very responsive support team.,11-10-2019
51,C96563,Survey,3,Customer support was helpful.,03-09-2024
52,C18255,Social Media,4,I received wrong item.,23-02-2021
53,C83743,Live Chat,1,The quality of service has declined.,23-08-2023
54,C97185,Customer interviews,2,Love the new updates!,16-06-2024
55,C28866,Website Feedback,4,Very responsive support team.,19-12-2021
56,C68902,Customer interviews,4,"Very quick delivery, thanks!",14-12-2019
57,C48199,Email,1,Could improve product quality.,05-07-2019
58,C63238,Survey,4,Could improve product quality.,13-10-2024
59,C99900,Survey,3,"Very quick delivery, thanks!",22-02-2020
60,C81337,Social Media,1,Could improve product quality.,28-08-2021
61,C58911,Email,4,Product is overpriced.,15-06-2023
62,C75777,Website Feedback,4,Very responsive support team.,25-06-2019
63,C69179,Feedback,1,I received wrong item.,09-03-2024
64,C56691,Survey,3,Poor communication from the team.,15-02-2019
65,C31873,Survey,1,Product arrived damaged.,28-01-2023
66,C50515,Feedback,2,"Easy to use, very user-friendly.",31-03-2024
67,C28360,Survey,5,Customer support was helpful.,29-06-2023
68,C24421,Survey,3,"Great experience, very satisfied!",09-05-2021
69,C34348,Survey,1,Too many ads on the platform.,25-07-2020
70,C97737,Live Chat,3,Very responsive support team.,24-01-2020
71,C88556,Customer interviews,2,Response time was a bit slow.,21-11-2020
72,C84367,Social Media,1,"Great experience, very satisfied!",03-03-2019
73,C93473,Survey,1,Too many bugs in the app.,28-10-2023
74,C22841,Feedback,4,The app is too slow.,02-12-2022
75,C76297,Email,4,Excellent customer support!,28-08-2020
76,C89047,Social Media,2,The app is too slow.,18-02-2024
77,C49148,Survey,2,"Great experience, very satisfied!",27-06-2023
78,C68761,Website Feedback,2,The app keeps crashing.,30-01-2019
79,C77006,Feedback,1,Product is overpriced.,24-12-2023
80,C86177,Feedback,2,"Easy to use, very user-friendly.",10-10-2024
81,C97916,Email,3,Didn't meet my expectations.,16-02-2020
82,C57018,Survey,2,Poor communication from the team.,27-02-2023
83,C77971,Social Media,1,The service was excellent!,22-06-2022
84,C97865,Email,1,I received wrong item.,04-02-2019
85,C16170,Live Chat,5,Poor communication from the team.,24-09-2022
86,C25475,Feedback,2,Love the new updates!,18-04-2022
87,C30535,Live Chat,4,The app keeps crashing.,02-04-2022
88,C82375,Email,3,Poor communication from the team.,02-07-2019
89,C22304,Live Chat,2,"Great experience, very satisfied!",21-08-2023
90,C86074,Survey,3,Customer support was helpful.,23-04-2022
91,C89818,Social Media,2,I faced issues with payment.,04-11-2021
92,C97198,Survey,3,Product is overpriced.,15-02-2023
93,C25190,Live Chat,4,"Easy to use, very user-friendly.",17-10-2023
94,C99331,Feedback,3,"Great experience, very satisfied!",10-02-2023
95,C67851,Customer interviews,1,Didn't meet my expectations.,29-05-2021
